ds,y
5/24/2018,42793.33
5/25/2018,525629.75
5/30/2018,297322.24
5/31/2018,291523.15
6/1/2018,304750.21
6/8/2018,409544.71
6/11/2018,444568.72
6/18/2018,328804.27
6/19/2018,84796.45
6/25/2018,382532.6
6/26/2018,55689.06
6/27/2018,228929.33
7/3/2018,155302.69
7/5/2018,326061.09
7/6/2018,240287.49
7/11/2018,178078.44
7/12/2018,373728.75
7/13/2018,286657.55
7/19/2018,380049.96
7/20/2018,56792.4
7/23/2018,492940.05
7/30/2018,229557.21
7/31/2018,13210.52
8/6/2018,308091.61
8/7/2018,111759.05
8/8/2018,197440.61
8/13/2018,212622.83
8/14/2018,140252.06
8/15/2018,187434.06
8/16/2018,204245.45
8/17/2018,185235.12
8/22/2018,127505.93
8/23/2018,472370.63
8/24/2018,107951.37
8/30/2018,258488.49
8/31/2018,103111.22
9/7/2018,222052.95
9/10/2018,322014.91
9/11/2018,76270.32
9/17/2018,201862.37
9/18/2018,96130.15
9/19/2018,219491.02
9/24/2018,201809.11
9/25/2018,185784.07
9/26/2018,134554.67
9/27/2018,258958.42
10/3/2018,473482.28
10/4/2018,408728.9
10/5/2018,195814.59
10/11/2018,219988.56
10/12/2018,137871.33
10/19/2018,707639.39
10/22/2018,238155.5
10/29/2018,263033.88
10/30/2018,69302.78
10/31/2018,169301.63
11/5/2018,177877.01
11/6/2018,88469.13
11/7/2018,192508.44
11/8/2018,318875.04
11/13/2018,36520.15
11/14/2018,100390.32
11/15/2018,343292.88
11/16/2018,120141.05
11/30/2018,56496
12/3/2018,293931.45
12/10/2018,179548.96
12/11/2018,123931.17
12/12/2018,214038.66
12/17/2018,284625.84
12/18/2018,133920.14
12/19/2018,255038.87
12/20/2018,306025.87
12/26/2018,149106.35
12/27/2018,165355.06
12/28/2018,126977.11
1/2/2019,440547.77
1/3/2019,143828.59
1/4/2019,232891.02
1/11/2019,245127.41
1/14/2019,360797.4
1/22/2019,316339.09
1/28/2019,357422.88
1/29/2019,98314.82
1/30/2019,211782.06
1/31/2019,135396.28
2/5/2019,71442.41
2/6/2019,214343.04
2/7/2019,78486.61
2/8/2019,290401.36
2/13/2019,320924.88
2/14/2019,213352.34
2/15/2019,28186.9
2/22/2019,332780.74
2/25/2019,408961.64
3/4/2019,358071.57
3/5/2019,85513.93
3/11/2019,184761.78
3/12/2019,75225.66
3/13/2019,386601.98
3/19/2019,266826.04
3/20/2019,264693.65
3/21/2019,574630
3/22/2019,167286.38
3/27/2019,344645.41
3/28/2019,76080.54
3/29/2019,304538.83
4/4/2019,407093.59
4/5/2019,224192.62
4/8/2019,321963.68
4/15/2019,368990.82
4/16/2019,362148.12
4/22/2019,379904.31
4/23/2019,178825.97
5/13/2019,226671.9
5/14/2019,139652.82
5/15/2019,221931.77
5/20/2019,513733.8
5/21/2019,169465.43
5/22/2019,269509.84
5/23/2019,235077.94
5/24/2019,147163.84
5/29/2019,338117.51
5/30/2019,58769.74
5/31/2019,370631.13
6/6/2019,135520.85
6/7/2019,104512.88
6/14/2019,32224.1
6/17/2019,89073.72
6/18/2019,253095.96
6/24/2019,1414114.71
6/25/2019,105489.7
6/26/2019,220581.49
7/1/2019,455807.51
7/2/2019,258879.99
7/3/2019,390260.49
7/9/2019,153241.01
7/10/2019,656473.03
7/11/2019,244913.75
7/12/2019,249150.62
7/18/2019,167789.33
7/19/2019,245654.82
7/26/2019,514801.48
7/29/2019,324118.85
8/5/2019,321347.5
8/6/2019,275553.88
8/7/2019,284386.47
8/12/2019,305070.77
8/13/2019,101997.31
8/14/2019,267201.26
8/15/2019,212005.76
8/20/2019,90690.31
8/21/2019,358187.8
8/22/2019,124708.88
8/23/2019,324773.41
8/29/2019,340893.25
8/30/2019,110678.25
9/6/2019,252633.26
9/9/2019,406308.21
9/16/2019,311515.29
9/17/2019,178041.23
9/23/2019,245806.06
9/24/2019,136058.82
9/25/2019,207810.53
9/26/2019,349289.86
10/1/2019,340844.94
10/2/2019,323521.53
10/3/2019,263915.58
10/4/2019,176481.31
10/9/2019,223112.7
10/10/2019,118991.26
10/11/2019,178405.97
10/18/2019,126546.03
10/21/2019,249951.56
10/28/2019,229460.58
10/29/2019,144786.23
11/4/2019,378855.44
11/5/2019,130365.35
11/6/2019,217544.64
11/7/2019,290781.7
11/12/2019,139049.72
11/13/2019,291120.15
11/14/2019,193601.18
11/15/2019,85660.4
11/20/2019,164149.35
11/21/2019,131532.36
11/22/2019,214943.82
12/2/2019,281110.78
12/9/2019,353376.3
12/10/2019,173821.07
12/16/2019,243517.95
12/17/2019,165326.95
12/18/2019,214053.7
12/24/2019,24771
12/26/2019,305752.95
12/27/2019,76169.48
1/2/2020,391043.9
1/3/2020,167586.26
1/9/2020,116001.25
1/10/2020,364555.67
1/21/2020,422648.1
1/27/2020,289016.66
1/28/2020,185470.7
1/29/2020,260119.89
2/3/2020,319671.72
2/4/2020,64102.39
2/5/2020,253997.68
2/6/2020,210671.03
2/7/2020,202002.41
2/12/2020,289221.56
2/13/2020,331362.56
2/14/2020,126930.33
2/20/2020,428134.09
2/21/2020,283372.66
2/28/2020,278425.58
3/2/2020,386373.73
3/3/2020,181023.74
3/9/2020,396980.46
3/10/2020,199161.87
3/11/2020,281301.71
3/16/2020,482586.77
3/17/2020,394514.27
3/18/2020,358540.92
3/19/2020,31187.74
3/25/2020,266691.44
3/26/2020,63942.21
3/27/2020,84733.65
4/2/2020,49344.05
4/3/2020,88386.37
4/10/2020,38392.56
4/12/2020,175167.8
4/13/2020,186667.05
4/20/2020,223084.86
4/21/2020,69065.08
4/22/2020,222951.36
4/27/2020,160999.28
4/28/2020,77114.03
4/29/2020,342161.08
4/30/2020,234235.72
5/5/2020,49509.06
5/6/2020,239048.94
5/7/2020,253659.81
5/8/2020,43425.65
5/14/2020,232456.9
5/15/2020,193473.56
5/22/2020,286021.79
6/1/2020,415565.14
6/2/2020,113425.21
6/3/2020,251087.95
6/8/2020,312645.97
6/9/2020,79327.11
6/10/2020,172548.99
6/11/2020,212781.81
6/16/2020,102558.35
6/17/2020,201976.1
6/18/2020,102802.07
6/19/2020,388129.79
6/24/2020,265724.02
6/25/2020,488363.15
4/24/2019,375193.03
4/29/2019,418798.46
4/30/2019,75657.52
5/1/2019,252834.59
5/2/2019,298692.34
5/3/2019,216739.05
5/8/2019,185759.64
5/9/2019,410515.49
5/10/2019,209677.11
5/16/2019,226135.46
5/17/2019,379948.93
5/28/2019,574451.89
6/3/2019,388660.26
6/4/2019,87954.8
6/5/2019,392409.96
6/10/2019,490392.08
6/11/2019,389190.71
6/12/2019,538536.93
6/13/2019,253279.44
6/19/2019,338169.46
6/20/2019,251789.2
6/21/2019,142655.07
6/27/2019,1687725.48
6/28/2019,223994.16
7/5/2019,281145.83
7/8/2019,280240.76
7/15/2019,308348.32
7/16/2019,137190.92
7/17/2019,317139.86
7/22/2019,309323.13
7/23/2019,464753.4
7/24/2019,48913.92
7/25/2019,254390.72
7/30/2019,200867.68
7/31/2019,236767.11
8/1/2019,110507.79
8/2/2019,251404.37
8/8/2019,318216.39
8/9/2019,355724.41
8/16/2019,101114.19
8/19/2019,252369.66
8/26/2019,255957.89
8/27/2019,82019.6
8/28/2019,330363.63
9/3/2019,402765.82
9/4/2019,334685.97
9/5/2019,123191.49
9/10/2019,324278.23
9/11/2019,256289.36
9/12/2019,185628.69
9/13/2019,89308.08
9/18/2019,312616.46
9/19/2019,462600.56
9/20/2019,135830.68
9/27/2019,91089.93
9/30/2019,75276.32
10/7/2019,508445.32
10/8/2019,73113.29
10/14/2019,325214.54
10/15/2019,106564.78
10/16/2019,208969.42
10/17/2019,320129.06
10/22/2019,188646.08
10/23/2019,201005.23
10/24/2019,228423.04
10/25/2019,153317.51
10/30/2019,307057.9
10/31/2019,280294.98
11/1/2019,166845.47
11/8/2019,190683.29
11/11/2019,280721.75
11/18/2019,463174.98
11/19/2019,124735.06
11/25/2019,621207.66
11/26/2019,217435.9
11/27/2019,257474.89
12/3/2019,131994.94
12/4/2019,120666.64
12/5/2019,142722.98
12/6/2019,71129.74
12/11/2019,299193.35
12/12/2019,75241.97
12/13/2019,100222.99
12/19/2019,126629.68
12/20/2019,240933.63
12/23/2019,259249.06
12/30/2019,374028.49
12/31/2019,20457.6
1/6/2020,338192.76
1/7/2020,106605.83
1/8/2020,355659.63
1/13/2020,450331.47
1/14/2020,97526.6
1/15/2020,233843.81
1/16/2020,260297.42
1/17/2020,162908.24
1/22/2020,214503.21
1/23/2020,301594.12
1/24/2020,181825.79
1/30/2020,73685.11
1/31/2020,201530.36
2/10/2020,381883.37
2/11/2020,133389.37
2/18/2020,286768.59
2/19/2020,241592.84
2/24/2020,442736.29
2/25/2020,126506.73
2/26/2020,314748.99
2/27/2020,140089.83
3/4/2020,429020.56
3/5/2020,238359.65
3/6/2020,191105.53
3/12/2020,477200.72
3/13/2020,130834.07
3/20/2020,459834.86
3/23/2020,140500.15
3/24/2020,174835.25
3/30/2020,188648.55
3/31/2020,140703.84
4/1/2020,176796.14
4/6/2020,114426.14
4/7/2020,200968.11
4/8/2020,362465.2
4/9/2020,102951
4/14/2020,53556.57
4/15/2020,313045.72
4/16/2020,260233.05
4/17/2020,135272.51
4/23/2020,163382.07
4/24/2020,75199.3
5/1/2020,73003.82
5/4/2020,371400.69
5/11/2020,308217.33
5/12/2020,201945.2
5/13/2020,209758.94
5/18/2020,536356.68
5/19/2020,97960.86
5/20/2020,227564.55
5/21/2020,229464.1
5/26/2020,620066.21
5/27/2020,347243.04
5/28/2020,253367.26
5/29/2020,112975.14
6/4/2020,290635.22
6/5/2020,114137.36
6/12/2020,88284.65
6/15/2020,532465.63
6/22/2020,481686.84
6/23/2020,130291.2
6/29/2020,342142.08
6/30/2020,114011.92
7/1/2020,414323.42
7/2/2020,236284.84
7/7/2020,118466.98
7/8/2020,201852.99
7/9/2020,163710.92
7/10/2020,125906.97
7/15/2020,224630.85
7/16/2020,166372.7
7/17/2020,226014.63
7/24/2020,215235.79
7/27/2020,439041.17
6/26/2020,223330.48
7/6/2020,504020.14
7/13/2020,353626.56
7/14/2020,192723.13
7/20/2020,284327.77
7/21/2020,149019.9
7/22/2020,244659.73
7/23/2020,242596.07
7/28/2020,387368.53
7/29/2020,330163.83
7/30/2020,133996.01
7/31/2020,191700.07
